,model_name,model_category,batch_size,model_parameters,num_inference_steps,precision,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time
69,mobilenetv2_100,misc,64,3504872.0,10,float32,0.0013853240758180617,0.006407341361045838,0.1216374009847641,0.129430066421628,0.12804474234580993
70,mobilenetv2_100,misc,16,3504872.0,10,float64,0.00521058589220047,0.006244443356990814,0.010453717410564422,0.021908746659755708,0.016698160767555238
71,mobilenetv2_100,misc,32,3504872.0,10,float64,0.002970653772354126,0.006187994033098221,0.006723666191101074,0.01588231399655342,0.012911660224199295
72,mobilenetv2_100,misc,64,3504872.0,10,float64,0.0012660279870033264,0.006718721985816955,0.003068063408136368,0.01105281338095665,0.009786785393953324
73,nasnetalarge,misc,16,88753150.0,10,bfloat16,0.033238758146762845,0.0033559784293174743,1.7157181993126869,1.7523129358887672,1.7190741777420044
74,nasnetalarge,misc,32,88753150.0,10,bfloat16,0.016557206958532335,0.003163951635360718,1.2696376003324985,1.2893587589263915,1.2728015519678593
75,nasnetalarge,misc,64,88753150.0,10,bfloat16,0.008827709406614304,0.0030872177332639692,0.6070199448615312,0.6189348720014094,0.6101071625947951
76,nasnetalarge,misc,16,88753150.0,10,float16,0.037894067168235776,0.0035701319575309753,1.9743366569280625,2.015800856053829,1.9779067888855935
77,nasnetalarge,misc,32,88753150.0,10,float16,0.01548784226179123,0.0034192316234111786,1.496634315699339,1.5155413895845413,1.50005354732275
78,nasnetalarge,misc,64,88753150.0,10,float16,0.00826297253370285,0.003363227844238281,0.755831190571189,0.7674573909491301,0.7591944184154272
79,nasnetalarge,misc,16,88753150.0,10,float32,0.011046402052056951,0.021073032170534134,1.6680388036024918,1.7001582378250828,1.689111835773026
80,nasnetalarge,misc,32,88753150.0,10,float32,0.011607440561056137,0.006301353126764298,0.8679319754242897,0.8858407691121101,0.874233328551054
81,nasnetalarge,misc,64,88753150.0,10,float32,0.009418177232146264,0.007385839521884918,0.4821370609104633,0.4989410776644945,0.48952290043234825
82,nasnetalarge,misc,16,88753150.0,10,float64,0.032487744092941286,0.006327398121356964,0.37132327556610106,0.41013841778039933,0.377650673687458
83,nasnetalarge,misc,32,88753150.0,10,float64,0.01792438104748726,0.006719999015331268,0.046571378409862516,0.07121575847268105,0.053291377425193784
84,nasnetalarge,misc,64,88753150.0,10,float64,0.00929252728819847,0.0068430062383413315,0.024976719915866853,0.041112253442406654,0.03181972615420818
85,resnet101,resnet,16,44549160.0,10,bfloat16,0.015140318870544433,0.0032619863748550417,0.6353136152029037,0.6537159204483033,0.6385756015777588
86,resnet101,resnet,32,44549160.0,10,bfloat16,0.007224232703447342,0.003146865218877792,0.3464064419269562,0.35677753984928134,0.349553307145834
87,resnet101,resnet,64,44549160.0,10,bfloat16,0.003396613523364067,0.0031346961855888366,0.20245462618768215,0.20898593589663506,0.205589322373271
88,resnet101,resnet,16,44549160.0,10,float16,0.014153142273426057,0.003593064844608307,0.758831262588501,0.7765774697065353,0.7624243274331093
89,resnet101,resnet,32,44549160.0,10,float16,0.0075324192643165585,0.003599955886602402,0.43048748522996905,0.441619860380888,0.43408744111657144
