,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time,gpu_utilization,gpu_mem_used,gpu_mem_total,gpu_temp,gpu_power,gpu_count,cuda_version,cudnn_version,cuda_device_name,max_gpu_mem_allocated,max_gpu_mem_reserved
45,cuda,cuda,efficientnet_b1,efficientnet,32.0,512.0,float64,7794184.0,0.000315625,0.000240625,0.000603125,0.0371,0.0008437500000000001,8.3333,1394.3333,40960.0,28.6667,39.8,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2716.0
46,cuda,cuda,efficientnet_b1,efficientnet,64.0,1024.0,float64,7794184.0,0.0001578125,0.0001765625,0.000696875,0.0659,0.0008734375,11.0,1394.3333,40960.0,28.6667,66.9467,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
47,cuda,cuda,efficientnet_b1,efficientnet,64.0,512.0,float64,7794184.0,0.000159375,0.0001875,0.00069375,0.0667,0.0008812500000000001,8.0,1394.3333,40960.0,28.6667,54.4,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
48,cuda,cuda,efficientnet_b2,efficientnet,16.0,1024.0,bfloat16,9109994.0,0.00065625,6.25e-05,5.625e-05,0.0124,0.00011875,6.0,1394.3333,40960.0,26.6667,35.3167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
49,cuda,cuda,efficientnet_b2,efficientnet,16.0,512.0,bfloat16,9109994.0,0.00066875,6.25e-05,5e-05,0.0125,0.0001125,6.0,1394.3333,40960.0,26.6667,41.86,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
50,cuda,cuda,efficientnet_b2,efficientnet,32.0,1024.0,bfloat16,9109994.0,0.000321875,5.9375e-05,0.00023125,0.0196,0.00029062500000000003,6.3333,1394.3333,40960.0,26.6667,35.55,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
51,cuda,cuda,efficientnet_b2,efficientnet,32.0,512.0,bfloat16,9109994.0,0.000328125,5.9375e-05,0.000228125,0.0196,0.0002875,6.3333,1394.3333,40960.0,26.6667,35.1233,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
52,cuda,cuda,efficientnet_b2,efficientnet,64.0,1024.0,bfloat16,9109994.0,0.0001609375,6.09375e-05,0.0003125,0.0341,0.0003734375,5.6667,1394.3333,40960.0,27.3333,52.1,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
53,cuda,cuda,efficientnet_b2,efficientnet,64.0,512.0,bfloat16,9109994.0,0.0001640625,6.09375e-05,0.0003109375,0.0343,0.000371875,5.6667,1394.3333,40960.0,27.0,52.17,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
54,cuda,cuda,efficientnet_b2,efficientnet,16.0,1024.0,float16,9109994.0,0.00068125,6.25e-05,0.0,0.012,6.25e-05,3.3333,1394.3333,40960.0,26.6667,39.97,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
55,cuda,cuda,efficientnet_b2,efficientnet,16.0,512.0,float16,9109994.0,0.00069375,6.25e-05,6.25e-06,0.0121,6.875e-05,3.3333,1394.3333,40960.0,27.3333,37.0667,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
56,cuda,cuda,efficientnet_b2,efficientnet,32.0,1024.0,float16,9109994.0,0.000334375,5.9375e-05,9.0625e-05,0.0156,0.00015,2.6667,1394.3333,40960.0,26.3333,42.4167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
57,cuda,cuda,efficientnet_b2,efficientnet,32.0,512.0,float16,9109994.0,0.0003375,5.9375e-05,9.375e-05,0.0157,0.000153125,2.6667,1394.3333,40960.0,26.6667,45.7,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
58,cuda,cuda,efficientnet_b2,efficientnet,64.0,1024.0,float16,9109994.0,0.0001734375,6.25e-05,0.000175,0.0262,0.0002375,0.0,1394.3333,40960.0,26.6667,48.7933,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
59,cuda,cuda,efficientnet_b2,efficientnet,64.0,512.0,float16,9109994.0,0.0001703125,6.09375e-05,0.000178125,0.0263,0.00023906250000000002,3.0,1394.3333,40960.0,26.6667,35.2133,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
60,cuda,cuda,efficientnet_b2,efficientnet,16.0,1024.0,float32,9109994.0,0.00061875,0.00011875,6.25e-06,0.0118,0.000125,9.6667,1394.3333,40960.0,29.0,59.59,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
61,cuda,cuda,efficientnet_b2,efficientnet,16.0,512.0,float32,9109994.0,0.000625,0.00011875,6.25e-06,0.0119,0.000125,13.0,1394.3333,40960.0,28.3333,42.9967,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
62,cuda,cuda,efficientnet_b2,efficientnet,32.0,1024.0,float32,9109994.0,0.000303125,0.000115625,7.1875e-05,0.0158,0.0001875,15.6667,1394.3333,40960.0,31.0,47.03,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
63,cuda,cuda,efficientnet_b2,efficientnet,32.0,512.0,float32,9109994.0,0.000309375,0.000115625,6.875e-05,0.0158,0.00018437500000000002,14.3333,1394.3333,40960.0,30.0,44.3733,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
64,cuda,cuda,efficientnet_b2,efficientnet,64.0,1024.0,float32,9109994.0,0.0001671875,9.21875e-05,0.00018125,0.0282,0.00027343749999999997,13.3333,1394.3333,40960.0,32.6667,45.5967,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
65,cuda,cuda,efficientnet_b2,efficientnet,64.0,512.0,float32,9109994.0,0.0001671875,8.90625e-05,0.00018125,0.028,0.0002703125,13.3333,1394.3333,40960.0,32.0,53.5633,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
66,cuda,cuda,efficientnet_b2,efficientnet,16.0,1024.0,float64,9109994.0,0.000575,0.0002375,0.00046875,0.0206,0.00070625,10.0,1394.3333,40960.0,29.3333,53.7,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
67,cuda,cuda,efficientnet_b2,efficientnet,16.0,512.0,float64,9109994.0,0.0005875,0.0002375,0.00043125,0.0201,0.00066875,13.3333,1394.3333,40960.0,30.6667,36.4633,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
68,cuda,cuda,efficientnet_b2,efficientnet,32.0,1024.0,float64,9109994.0,0.000321875,0.000246875,0.000703125,0.0406,0.00095,13.0,1394.3333,40960.0,28.6667,40.66,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
69,cuda,cuda,efficientnet_b2,efficientnet,32.0,512.0,float64,9109994.0,0.00031875,0.00024375,0.00070625,0.0405,0.0009499999999999999,13.3333,1394.3333,40960.0,29.0,57.6967,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1613.97,2716.0
70,cuda,cuda,efficientnet_b2,efficientnet,64.0,1024.0,float64,9109994.0,0.000159375,0.000178125,0.0007765625,0.0713,0.0009546875,11.6667,1394.3333,40960.0,28.6667,66.9033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
71,cuda,cuda,efficientnet_b2,efficientnet,64.0,512.0,float64,9109994.0,0.000159375,0.00019375,0.0007765625,0.0723,0.0009703125,9.0,1394.3333,40960.0,28.6667,37.9067,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
72,cuda,cuda,efficientnet_b3,efficientnet,16.0,1024.0,bfloat16,12233232.0,0.00073125,6.25e-05,0.00014375,0.015,0.00020625,7.3333,1394.3333,40960.0,27.0,35.52,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
73,cuda,cuda,efficientnet_b3,efficientnet,16.0,512.0,bfloat16,12233232.0,0.00074375,6.25e-05,0.00014375,0.0151,0.00020625,7.3333,1394.3333,40960.0,26.6667,35.6467,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
74,cuda,cuda,efficientnet_b3,efficientnet,32.0,1024.0,bfloat16,12233232.0,0.00036875,5.9375e-05,0.00031875,0.0239,0.00037812500000000004,4.0,1394.3333,40960.0,27.0,36.6033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
75,cuda,cuda,efficientnet_b3,efficientnet,32.0,512.0,bfloat16,12233232.0,0.000365625,5.9375e-05,0.000321875,0.0239,0.00038125,8.0,1394.3333,40960.0,27.0,35.78,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
76,cuda,cuda,efficientnet_b3,efficientnet,64.0,1024.0,bfloat16,12233232.0,0.0001828125,6.09375e-05,0.0004171875,0.0423,0.00047812500000000003,7.0,1394.3333,40960.0,27.0,35.4067,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
77,cuda,cuda,efficientnet_b3,efficientnet,64.0,512.0,bfloat16,12233232.0,0.0001859375,6.09375e-05,0.0004140625,0.0424,0.000475,7.0,1394.3333,40960.0,27.0,35.5167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
78,cuda,cuda,efficientnet_b3,efficientnet,16.0,1024.0,float16,12233232.0,0.0007625,6.875e-05,6.25e-06,0.0134,7.500000000000001e-05,4.0,1394.3333,40960.0,26.6667,41.8733,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
79,cuda,cuda,efficientnet_b3,efficientnet,16.0,512.0,float16,12233232.0,0.00076875,6.25e-05,6.25e-06,0.0134,6.875e-05,2.0,1394.3333,40960.0,27.6667,36.0433,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
80,cuda,cuda,efficientnet_b3,efficientnet,32.0,1024.0,float16,12233232.0,0.000371875,6.25e-05,0.000159375,0.019,0.000221875,3.0,1394.3333,40960.0,26.6667,39.1,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
81,cuda,cuda,efficientnet_b3,efficientnet,32.0,512.0,float16,12233232.0,0.000378125,5.9375e-05,0.00015625,0.0191,0.000215625,3.0,1394.3333,40960.0,26.6667,47.5033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
82,cuda,cuda,efficientnet_b3,efficientnet,64.0,1024.0,float16,12233232.0,0.000190625,6.09375e-05,0.0002453125,0.0319,0.00030625,0.0,1394.3333,40960.0,26.6667,35.6367,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
83,cuda,cuda,efficientnet_b3,efficientnet,64.0,512.0,float16,12233232.0,0.0002,6.25e-05,0.000246875,0.0326,0.000309375,5.3333,1394.3333,40960.0,26.6667,46.9367,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
84,cuda,cuda,efficientnet_b3,efficientnet,16.0,1024.0,float32,12233232.0,0.00070625,0.00011875,6.25e-06,0.0132,0.000125,14.6667,1394.3333,40960.0,29.6667,55.2067,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
85,cuda,cuda,efficientnet_b3,efficientnet,16.0,512.0,float32,12233232.0,0.0007125,0.00011875,6.25e-06,0.0133,0.000125,15.0,1394.3333,40960.0,28.6667,65.2733,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
86,cuda,cuda,efficientnet_b3,efficientnet,32.0,1024.0,float32,12233232.0,0.00035,0.000115625,0.000125,0.0189,0.000240625,17.6667,1394.3333,40960.0,31.6667,84.54,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
87,cuda,cuda,efficientnet_b3,efficientnet,32.0,512.0,float32,12233232.0,0.00035,0.000115625,0.000128125,0.019,0.00024375000000000002,15.6667,1394.3333,40960.0,30.6667,52.5733,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
88,cuda,cuda,efficientnet_b3,efficientnet,64.0,1024.0,float32,12233232.0,0.0001890625,9.0625e-05,0.000259375,0.0346,0.00035,13.3333,1394.3333,40960.0,34.3333,51.5667,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
89,cuda,cuda,efficientnet_b3,efficientnet,64.0,512.0,float32,12233232.0,0.0001890625,9.21875e-05,0.0002609375,0.0346,0.000353125,14.0,1394.3333,40960.0,32.6667,50.2133,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2716.0
90,cuda,cuda,efficientnet_b3,efficientnet,16.0,1024.0,float64,12233232.0,0.00065625,0.0002375,0.00039375,0.0206,0.00063125,9.3333,1395.6667,40960.0,30.3333,41.3833,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2720.0
91,cuda,cuda,efficientnet_b3,efficientnet,16.0,512.0,float64,12233232.0,0.00065,0.0002375,0.00038125,0.0203,0.00061875,10.6667,1395.6667,40960.0,31.6667,46.93,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2720.0
92,cuda,cuda,efficientnet_b3,efficientnet,32.0,1024.0,float64,12233232.0,0.0003625,0.000246875,0.00066875,0.0408,0.000915625,13.3333,1395.6667,40960.0,29.3333,36.5033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2720.0
93,cuda,cuda,efficientnet_b3,efficientnet,32.0,512.0,float64,12233232.0,0.0003875,0.00024375,0.000671875,0.0416,0.000915625,10.3333,1395.6667,40960.0,29.6667,55.7767,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1624.45,2720.0
